ISO	Average_paradigm_size	LCS_threshold
pes	41.2681	0.3
plt	87.5218	0.3
qvi	86.7709	0.3
rus	40.0057	0.3
sag	42.4782	0.3
spa	76.6697	0.3
swh	56.5091	0.3
tgl	71.1408	0.3
tha	34.5112	0.3
tur	73.5268	0.3
vie	54.1433	0.3
xsu	73.3346	0.3
yad	73.4729	0.3
yaq	74.5635	0.3
yor	54.6806	0.3
aey	62.5184	0.35
amp	63.8564	0.35
ape	67.1227	0.35
apu	77.9339	0.35
arn	56.9914	0.35
arz	78.1509	0.35
bsn	70.5246	0.35
cha	48.5745	0.35
ckt	28.8674	0.35
deu	63.9623	0.35
dgz	65.6042	0.35
ell	71.0879	0.35
eng	53.8724	0.35
eus	41.3986	0.35
fij	48.0318	0.35
fin	70.2868	0.35
fra	64.7407	0.35
gug	37.9654	0.35
hae	55.9504	0.35
hau	45.0359	0.35
hin	46.3088	0.35
ind	72.4518	0.35
jac	60.8058	0.35
kal	36.5277	0.35
kat	31.3356	0.35
kew	73.6877	0.35
khk	37.1646	0.35
kor	36.5101	0.35
laj	41.1608	0.35
mig	57.3845	0.35
mph	39.5815	0.35
mya	25.728	0.35
mzh	66.9375	0.35
naq	35.0109	0.35
pes	32.7231	0.35
plt	80.8106	0.35
qvi	81.1788	0.35
rus	31.2479	0.35
sag	34.0673	0.35
spa	67.6084	0.35
swh	46.8496	0.35
tgl	61.5866	0.35
tha	27.5532	0.35
tur	67.4605	0.35
vie	45.6899	0.35
xsu	64.938	0.35
yad	63.72	0.35
yaq	66.4623	0.35
yor	44.9862	0.35
aey	50.7097	0.4
amp	52.4991	0.4
ape	53.2276	0.4
apu	65.6443	0.4
arn	44.1281	0.4
arz	64.2901	0.4
bsn	58.6554	0.4
cha	36.164	0.4
ckt	18.6686	0.4
deu	50.1663	0.4
dgz	54.5028	0.4
ell	55.1556	0.4
eng	40.5587	0.4
eus	28.9785	0.4
fij	36.8435	0.4
fin	55.8853	0.4
fra	50.0132	0.4
gug	27.19	0.4
hae	43.1582	0.4
hau	33.769	0.4
hin	32.4748	0.4
ind	60.8753	0.4
jac	47.0999	0.4
kal	21.0806	0.4
kat	20.8281	0.4
kew	63.1263	0.4
khk	27.6923	0.4
kor	29.596	0.4
laj	29.7316	0.4
mig	44.5842	0.4
mph	26.0245	0.4
mya	16.6876	0.4
mzh	53.9635	0.4
naq	24.4068	0.4
pes	24.2065	0.4
plt	69.4604	0.4
qvi	71.14	0.4
rus	21.9841	0.4
sag	25.9015	0.4
spa	52.6146	0.4
swh	34.9638	0.4
tgl	47.1138	0.4
tha	21.4702	0.4
tur	57.1944	0.4
vie	33.5371	0.4
xsu	53.0437	0.4
yad	49.5981	0.4
yaq	54.5081	0.4
yor	32.5679	0.4
aey	40.5148	0.45
amp	43.4397	0.45
ape	42.4746	0.45
apu	56.0324	0.45
arn	35.9987	0.45
arz	54.5663	0.45
bsn	49.2875	0.45
cha	27.9119	0.45
ckt	13.9443	0.45
deu	39.6898	0.45
dgz	45.0758	0.45
ell	41.644	0.45
eng	29.3141	0.45
eus	21.0199	0.45
fij	30.0218	0.45
fin	44.5611	0.45
fra	37.9584	0.45
gug	20.3095	0.45
hae	33.5403	0.45
hau	23.6364	0.45
hin	26.8032	0.45
ind	51.5478	0.45
jac	36.4465	0.45
kal	14.0829	0.45
kat	14.2661	0.45
kew	54.3135	0.45
khk	20.8628	0.45
kor	29.1052	0.45
laj	23.6331	0.45
mig	35.4073	0.45
mph	18.1677	0.45
mya	12.0074	0.45
mzh	44.4293	0.45
naq	18.7269	0.45
pes	19.2288	0.45
plt	59.7799	0.45
qvi	63.2677	0.45
rus	15.6649	0.45
sag	19.8286	0.45
spa	40.2546	0.45
swh	27.2917	0.45
tgl	35.8951	0.45
tha	17.8735	0.45
tur	48.807	0.45
vie	29.9104	0.45
xsu	44.7572	0.45
yad	40.5617	0.45
yaq	44.6642	0.45
yor	25.7773	0.45
aey	27.1911	0.5
amp	29.8013	0.5
ape	26.9772	0.5
apu	38.183	0.5
arn	22.9052	0.5
arz	34.5231	0.5
bsn	33.7137	0.5
cha	16.1705	0.5
ckt	8.391	0.5
deu	24.1946	0.5
dgz	30.6122	0.5
ell	23.5409	0.5
eng	16.4438	0.5
eus	12.7644	0.5
fij	17.3153	0.5
fin	27.1797	0.5
fra	22.1487	0.5
gug	12.6687	0.5
hae	20.6236	0.5
hau	13.9137	0.5
hin	14.5653	0.5
ind	35.6794	0.5
jac	22.5947	0.5
kal	7.1122	0.5
kat	8.2305	0.5
kew	37.5545	0.5
khk	12.7128	0.5
kor	10.9858	0.5
laj	15.2151	0.5
mig	21.8926	0.5
mph	9.7435	0.5
mya	8.3324	0.5
mzh	28.9545	0.5
naq	10.5744	0.5
pes	12.3187	0.5
plt	40.9546	0.5
qvi	46.6526	0.5
rus	9.5608	0.5
sag	12.7517	0.5
spa	23.4468	0.5
swh	16.9818	0.5
tgl	21.1585	0.5
tha	10.3395	0.5
tur	34.464	0.5
vie	13.7429	0.5
xsu	28.649	0.5
yad	26.1728	0.5
yaq	30.6292	0.5
yor	13.8431	0.5
aey	25.4443	0.55
amp	27.2576	0.55
ape	24.8052	0.55
apu	32.1884	0.55
arn	18.7636	0.55
arz	28.8978	0.55
bsn	29.0151	0.55
cha	13.0489	0.55
ckt	7.1593	0.55
deu	21.5264	0.55
dgz	29.2762	0.55
ell	20.9843	0.55
eng	15.696	0.55
eus	11.7831	0.55
fij	15.7602	0.55
fin	23.8952	0.55
fra	19.6663	0.55
gug	11.6629	0.55
hae	18.6767	0.55
hau	13.6628	0.55
hin	14.4562	0.55
ind	31.3753	0.55
jac	20.0184	0.55
kal	5.6811	0.55
kat	7.8089	0.55
kew	34.5597	0.55
khk	12.0841	0.55
kor	10.9858	0.55
laj	15.176	0.55
mig	19.0782	0.55
mph	7.9525	0.55
mya	7.0759	0.55
mzh	24.8017	0.55
naq	10.2043	0.55
pes	12.2102	0.55
plt	35.385	0.55
qvi	38.9252	0.55
rus	8.9299	0.55
sag	12.6705	0.55
spa	21.6317	0.55
swh	15.0759	0.55
tgl	18.0706	0.55
tha	10.2956	0.55
tur	30.9327	0.55
vie	13.3774	0.55
xsu	27.1727	0.55
yad	21.0687	0.55
yaq	27.384	0.55
yor	13.6656	0.55
aey	14.8415	0.6
amp	17.4223	0.6
ape	15.5227	0.6
apu	20.9616	0.6
arn	12.2216	0.6
arz	17.6338	0.6
bsn	19.1817	0.6
cha	7.5453	0.6
ckt	5.031	0.6
deu	12.409	0.6
dgz	18.5324	0.6
ell	10.671	0.6
eng	8.0492	0.6
eus	7.1231	0.6
fij	9.6061	0.6
fin	13.515	0.6
fra	10.4636	0.6
gug	7.4213	0.6
hae	11.1186	0.6
hau	6.9943	0.6
hin	7.6628	0.6
ind	19.7426	0.6
jac	11.5324	0.6
kal	4.0757	0.6
kat	4.8472	0.6
kew	22.0142	0.6
khk	7.4807	0.6
kor	8.0283	0.6
laj	7.5973	0.6
mig	11.5261	0.6
mph	5.1901	0.6
mya	5.7191	0.6
mzh	15.7219	0.6
naq	6.4444	0.6
pes	8.2	0.6
plt	22.217	0.6
qvi	26.7149	0.6
rus	5.6808	0.6
sag	6.8528	0.6
spa	11.4382	0.6
swh	9.4707	0.6
tgl	9.9835	0.6
tha	7.8842	0.6
tur	19.7025	0.6
vie	8.8213	0.6
xsu	16.9354	0.6
yad	13.8514	0.6
yaq	17.5101	0.6
yor	7.6203	0.6
aey	11.042	0.65
amp	13.2766	0.65
ape	12.1478	0.65
apu	14.7743	0.65
arn	9.0897	0.65
arz	11.7997	0.65
bsn	13.4014	0.65
cha	5.1538	0.65
ckt	4.0947	0.65
deu	9.1752	0.65
dgz	14.6427	0.65
ell	7.6028	0.65
eng	6.259	0.65
eus	5.5606	0.65
fij	7.2528	0.65
fin	9.2707	0.65
fra	7.5206	0.65
gug	6.0217	0.65
hae	8.2595	0.65
hau	5.8044	0.65
hin	6.7399	0.65
ind	13.2284	0.65
jac	8.4853	0.65
kal	3.4742	0.65
kat	4.0958	0.65
kew	16.6004	0.65
khk	5.9744	0.65
kor	8.0194	0.65
laj	7.0615	0.65
mig	8.1757	0.65
mph	4.1217	0.65
mya	4.5992	0.65
mzh	11.3747	0.65
naq	5.6822	0.65
pes	6.5405	0.65
plt	15.609	0.65
qvi	18.2629	0.65
rus	4.6875	0.65
sag	6.3665	0.65
spa	7.9801	0.65
swh	6.9914	0.65
tgl	7.1833	0.65
tha	7.6032	0.65
tur	14.1607	0.65
vie	8.3362	0.65
xsu	12.8112	0.65
yad	9.6543	0.65
yaq	12.9178	0.65
yor	6.696	0.65
aey	6.9609	0.7
amp	8.7136	0.7
ape	7.9992	0.7
apu	9.4826	0.7
arn	6.0619	0.7
arz	6.8509	0.7
bsn	8.3668	0.7
cha	3.5486	0.7
ckt	3.2929	0.7
deu	5.5931	0.7
dgz	9.422	0.7
ell	4.6589	0.7
eng	4.2944	0.7
eus	3.9784	0.7
fij	4.5169	0.7
fin	5.5149	0.7
fra	4.7774	0.7
gug	4.4365	0.7
hae	5.5096	0.7
hau	4.2042	0.7
hin	4.7605	0.7
ind	7.5329	0.7
jac	5.3664	0.7
kal	2.9414	0.7
kat	3.1454	0.7
kew	9.7094	0.7
khk	4.1858	0.7
kor	4.8831	0.7
laj	5.4125	0.7
mig	5.407	0.7
mph	3.1884	0.7
mya	3.766	0.7
mzh	7.2024	0.7
naq	4.2661	0.7
pes	4.8405	0.7
plt	8.4373	0.7
qvi	10.6896	0.7
rus	3.6872	0.7
sag	4.4747	0.7
spa	5.1821	0.7
swh	4.8471	0.7
tgl	4.4128	0.7
tha	4.5578	0.7
tur	8.5229	0.7
vie	6.2877	0.7
xsu	7.9102	0.7
yad	6.1986	0.7
yaq	8.1607	0.7
yor	4.5778	0.7
aey	4.252	0.75
amp	5.6195	0.75
ape	5.3141	0.75
apu	6.1206	0.75
arn	4.2093	0.75
arz	4.3239	0.75
bsn	5.0673	0.75
cha	2.7324	0.75
ckt	2.7376	0.75
deu	3.7779	0.75
dgz	5.6482	0.75
ell	3.2939	0.75
eng	2.879	0.75
eus	2.9575	0.75
fij	3.2147	0.75
fin	3.5609	0.75
fra	3.3792	0.75
gug	3.2982	0.75
hae	3.737	0.75
hau	3.0072	0.75
hin	3.234	0.75
ind	4.2671	0.75
jac	3.5969	0.75
kal	2.6111	0.75
kat	2.6655	0.75
kew	5.6959	0.75
khk	3.0574	0.75
kor	3.9129	0.75
laj	3.8027	0.75
mig	3.6455	0.75
mph	2.6593	0.75
mya	3.0491	0.75
mzh	4.6852	0.75
naq	3.4066	0.75
pes	3.2908	0.75
plt	5.0135	0.75
qvi	5.9876	0.75
rus	2.9894	0.75
sag	3.4883	0.75
spa	3.4544	0.75
swh	3.3617	0.75
tgl	3.0903	0.75
tha	4.11	0.75
tur	5.1251	0.75
vie	4.1319	0.75
xsu	4.6267	0.75
yad	4.2223	0.75
yaq	5.1955	0.75
yor	3.1999	0.75
aey	3.2582	0.8
amp	4.3782	0.8
ape	4.1246	0.8
apu	4.4235	0.8
arn	3.1459	0.8
arz	3.1687	0.8
bsn	3.4763	0.8
cha	2.3418	0.8
ckt	2.4404	0.8
deu	3.0406	0.8
dgz	4.1893	0.8
ell	2.6966	0.8
eng	2.5347	0.8
eus	2.4879	0.8
fij	2.4494	0.8
fin	2.8455	0.8
fra	2.821	0.8
gug	2.7458	0.8
hae	3.0447	0.8
hau	2.5841	0.8
hin	2.7308	0.8
ind	2.9779	0.8
jac	2.8125	0.8
kal	2.3721	0.8
kat	2.4388	0.8
kew	3.8069	0.8
khk	2.6595	0.8
kor	2.9785	0.8
laj	3.1153	0.8
mig	2.9005	0.8
mph	2.4133	0.8
mya	2.5493	0.8
mzh	3.51	0.8
naq	2.9295	0.8
pes	2.9385	0.8
plt	3.4413	0.8
qvi	3.7709	0.8
rus	2.7061	0.8
sag	2.5464	0.8
spa	2.8895	0.8
swh	2.6903	0.8
tgl	2.5616	0.8
tha	4.6207	0.8
tur	3.5818	0.8
vie	2.9046	0.8
xsu	3.4832	0.8
yad	3.1551	0.8
yaq	3.6793	0.8
yor	2.7278	0.8
aey	2.8439	0.85
amp	3.7535	0.85
ape	3.3188	0.85
apu	3.3734	0.85
arn	2.5804	0.85
arz	2.668	0.85
bsn	2.7158	0.85
cha	2.1312	0.85
ckt	2.3438	0.85
deu	2.6823	0.85
dgz	3.376	0.85
ell	2.4424	0.85
eng	2.3396	0.85
eus	2.3522	0.85
fij	2.269	0.85
fin	2.5293	0.85
fra	2.6166	0.85
gug	2.5046	0.85
hae	2.7821	0.85
hau	2.3823	0.85
hin	2.4183	0.85
ind	2.379	0.85
jac	2.5387	0.85
kal	2.2592	0.85
kat	2.2741	0.85
kew	3.1311	0.85
khk	2.4487	0.85
kor	2.9787	0.85
laj	2.8247	0.85
mig	2.5186	0.85
mph	2.1637	0.85
mya	2.1885	0.85
mzh	2.8556	0.85
naq	2.6792	0.85
pes	2.9746	0.85
plt	2.9111	0.85
qvi	2.6516	0.85
rus	2.5951	0.85
sag	2.2736	0.85
spa	2.6693	0.85
swh	2.553	0.85
tgl	2.2711	0.85
tha	3.9853	0.85
tur	2.9702	0.85
vie	2.4188	0.85
